industry,region,last_updated_at,date,value,delta,all_industries_value
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2013-10-01,25180,-552.0,1920574.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2013-10-01,54327,2647.0,2069396.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2013-10-01,1542,61.0,111909.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2013-10-01,23252,2095.0,1165176.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2013-10-01,5565,189.0,5722513.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2013-10-01,21476,543.0,2021398.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2013-10-01,26271,1157.0,1941757.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2013-10-01,14724,576.0,1178511.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2013-10-01,14600,-3389.0,975929.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2013-10-01,21332,674.0,2934935.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2013-10-01,13724,270.0,906226.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2013-10-01,19601,-842.0,1793001.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2014-01-01,14956,356.0,974055.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2014-01-01,21573,241.0,2933391.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2014-01-01,54722,395.0,2067845.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2014-01-01,19684,83.0,1795094.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2014-01-01,26205,537.0,1377685.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2014-01-01,1540,-2.0,112309.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2014-01-01,13902,178.0,904930.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2014-01-01,25768,588.0,1922082.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2014-01-01,21205,-271.0,2022088.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2014-01-01,28071,1800.0,1941093.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2014-01-01,23338,86.0,1166109.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2014-01-01,5505,-60.0,5726285.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2014-01-01,14778,54.0,1177647.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2014-04-01,26833,628.0,1381913.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2014-04-01,25924,156.0,1924986.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2014-04-01,55462,740.0,2071378.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2014-04-01,1549,9.0,112484.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2014-04-01,27832,-239.0,1939557.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2014-04-01,23300,-38.0,1168227.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2014-04-01,5565,60.0,5730853.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2014-04-01,21585,380.0,2020415.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2014-04-01,15230,452.0,1179391.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2014-04-01,15148,192.0,973137.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2014-04-01,21909,336.0,2933666.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2014-04-01,14386,484.0,903975.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2014-04-01,19757,73.0,1793793.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2014-07-01,15204,56.0,968891.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2014-07-01,20619,862.0,1794414.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2014-07-01,5617,52.0,5729006.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2014-07-01,14910,-320.0,1177311.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2014-07-01,13772,-614.0,902560.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2014-07-01,23745,445.0,1166141.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2014-07-01,21403,-506.0,2929815.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2014-07-01,28962,1130.0,1935366.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2014-07-01,20555,-1030.0,2014344.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2014-07-01,53684,-1778.0,2066257.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2014-07-01,1596,47.0,112566.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2014-07-01,26103,179.0,1925767.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2014-07-01,26213,-620.0,1379690.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2014-10-01,14820,-384.0,968050.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2014-10-01,25520,-693.0,1379493.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2014-10-01,25611,-492.0,1929134.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2014-10-01,1641,45.0,112583.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2014-10-01,21460,57.0,2939390.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2014-10-01,23229,-516.0,1168104.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2014-10-01,21125,570.0,2017702.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2014-10-01,54115,431.0,2066539.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2014-10-01,27209,-1753.0,1931067.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2014-10-01,15118,208.0,1176127.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2014-10-01,5524,-93.0,5736480.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2014-10-01,19627,-992.0,1797598.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2014-10-01,13912,140.0,901782.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2015-01-01,19948,321.0,1796380.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2015-01-01,13746,-166.0,901387.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2015-01-01,14771,-49.0,967441.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2015-01-01,23333,104.0,1169734.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2015-01-01,15332,214.0,1174282.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2015-01-01,5626,102.0,5735241.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2015-01-01,54773,658.0,2064198.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2015-01-01,21351,-109.0,2933607.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2015-01-01,1667,26.0,112649.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2015-01-01,25457,-63.0,1379732.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2015-01-01,25681,70.0,1929558.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2015-01-01,27139,-70.0,1925712.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2015-01-01,21241,116.0,2016682.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2015-04-01,21401,50.0,2940582.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2015-04-01,15046,275.0,968754.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2015-04-01,21809,568.0,2017909.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2015-04-01,28209,1070.0,1925784.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2015-04-01,26457,1000.0,1384910.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2015-04-01,26518,837.0,1936462.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2015-04-01,55780,1007.0,2069411.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2015-04-01,1729,62.0,113078.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2015-04-01,20042,94.0,1803070.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2015-04-01,5710,84.0,5751843.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2015-04-01,23930,597.0,1173764.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2015-04-01,15411,79.0,1173237.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2015-04-01,14184,438.0,902544.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2015-07-01,1774,45.0,113388.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2015-07-01,57357,1577.0,2073942.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2015-07-01,25024,-1494.0,1939261.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2015-07-01,26460,3.0,1388374.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2015-07-01,28605,396.0,1926093.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2015-07-01,21389,-420.0,2021458.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2015-07-01,14211,-835.0,967495.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2015-07-01,14116,-68.0,901937.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2015-07-01,19378,-664.0,1801783.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2015-07-01,20229,-1172.0,2946612.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2015-07-01,5587,-123.0,5756279.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2015-07-01,15204,-207.0,1171830.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2015-07-01,23954,24.0,1175609.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2015-10-01,14844,633.0,967020.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2015-10-01,26038,1014.0,1946433.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2015-10-01,1702,-72.0,113422.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2015-10-01,25734,-726.0,1392398.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2015-10-01,21653,1424.0,2953011.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2015-10-01,23658,-296.0,1177079.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2015-10-01,21316,-73.0,2022814.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2015-10-01,55666,-1691.0,2075491.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2015-10-01,27385,-1220.0,1924253.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2015-10-01,15311,107.0,1172392.0
